id;word;definition;example;tags;status;created_at;updated_at;created_by
018368b4-5a8f-420e-b9f9-569207a08004;abeyance;a temporary state of inactivity;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
4309c723-21f3-442e-9bc7-5d45c48bbf0c;abysmal;"like an abyss; immeasurably great or low; hopelessly bad";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
d36a680f-58fe-4f2e-ac0f-e8ffddea7a1e;abstemious;restrained, especially with food and alcohol;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
d52a8f64-9469-465b-9f98-d5421218392e;abscond;to leave secretly and suddenly;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
b4a0edfe-50af-40cd-873f-d2bceb7252ca;accrue;to grow through additions;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
fbe56b03-3939-4491-ab60-8c561fe21cf3;accolade;an award or other expression of honor or praise;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
a9f1e556-60f6-484d-bd4f-348f75dfee38;admonish;"to advise against something; to gently scold or warn";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
5e3d7543-3efa-4231-b8b7-dc8c74afc524;adamant;"insistent, immovable; unyielding";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
a65c64a8-ff24-443b-a00f-4ba4b9333071;acumen;insight or shrewdness, especially in practical matters;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
95af1413-738d-4e71-bd99-2f557d626b5a;aesthetic;having to do with beauty or the arts;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
210ec481-02a5-4c44-82af-8792504d3969;sagacious;"having or showing keen mental discernment and good judgement; wise or shrewd; prudent";"""they were sagacious enough to avoid any outright confrontation""";[];new;2026-01-24 11:11:57.919+00;2026-01-26 12:17:08.547245+00;
395e77e8-4add-4e76-bce3-e38f96a7e7a4;adulterate;to make impure by adding foreign or inferior elements;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
fcb8be6e-503e-4afa-99ca-9d75b26b1bca;adulation;"excessive admiration, praise, or devotion; flattery";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
62eec046-9775-4a44-94a0-160ead554538;aggregate;formed by grouping elements into one larger body;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
70a8e1fd-f856-4b40-a2a3-893ac93af5f9;aggrandize;to make greater in size, power, or honor;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
4bf6e443-da8f-42bf-bdfc-cf18e2dcada5;affinity;an attraction, especially one based on similarity in interests;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
eee02604-b3ee-4bb0-bdc1-6d2bbf117d50;allay;"to put to rest; to decrease in strength or difficulty";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
1caae306-c459-497b-81ec-70111f907c71;alchemy;the power or process that transforms something ordinary into something special;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
36a84a4c-5eee-4008-bdfa-18271d3c5c16;alacrity;"cheerful readiness; eagerness";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
6a9862e3-d5b7-4be1-98aa-c464b0e484d7;allure;to attract or entice;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
fa563bfa-55f7-4de8-b0f5-0951f8109dd9;alloy;"of two or more different things; literally, a mixture of two or more metals";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
c9b97926-4d65-453f-93f4-8ef879c6fa9b;alleviate;to make less severe or more bearable;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
9ef60e96-298e-4c6e-8059-288a27ea743d;ambivalence;mixed feelings about something;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
77435637-e1a9-4fac-8bef-fc494178479a;ambiguous;"unclear; having more than one meaning";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
7c0a260f-4498-45b0-959e-c2d83aa24a20;amalgamate;to combine or unite;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
be0260bc-1f30-434d-b398-47b6ce986937;amenity;"a feature that increases value or comfort; the quality of being agreeable";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
0b1960a4-2da5-40c3-a837-036bf1d5d156;amenable;"willing to yield or agree; responsive";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
fae17e7d-44b3-459a-87a7-45e20d19399a;ameliorate;to make better or more tolerable;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
c03e9380-f6c7-423b-b5b8-0ec09b75dd8c;anarchy;"absence of government; complete disorder";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
c9f748fb-3eac-4975-aa4d-d7321872b9ed;analogous;similar in such a way that an analogy can be drawn;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
6f3baec3-d621-4d39-bfdc-ca8983f6f4ad;anachronism;something out of place in time;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
8ce5a1e7-d6b1-451a-a0a4-691cd5f6c45f;anomaly;something that deviates from the norm;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
9f722a8a-fd5a-4e9d-83f9-259ae920b4ad;anodyne;"something that comforts; a medicine that relieves pain";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
e6f80d5a-afca-469c-81d0-ad161b345bcb;anathema;something or someone intensely disliked;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
820363e4-5459-41f0-b99f-ae97368a7f9b;apogee;"the highest point; literally, the point at which an orbiting body is farthest from Earth";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
26ce7b7a-dc07-4e87-b501-f89682c59139;apostate;one who renounces a previous loyalty, such as to a religion, nation, or party;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
c73ede45-71ec-453b-975d-419f2b9d2f4f;antipathy;"strong feeling against; aversion";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
bd028c81-2ad7-4a29-91a6-a779f5825da7;approbation;approval;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
486380ae-9b6c-4428-8ce3-21307e989bd1;apprise;to inform;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
9ff75628-84b9-44b9-8737-a2f0bb9d2007;appease;to calm or satisfy;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
e23ac52e-019b-487f-acf4-2cdbaa5aa5f7;arduous;"difficult; requiring great effort";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
122c204d-769a-4ecf-9af9-396f20fe086a;archaic;"of the past; extremely old or out of date";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
c140222d-a312-4934-82db-1d2f7ecd4e2d;appropriate;"to set apart for a specific use; to take for oneself";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
f1173fde-c0bf-47db-a690-c7ea79991c22;asperity;"harshness of tone, manner, or temper; roughness";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
03aba37d-2aec-4a09-b699-4a394be0d700;artless;"without guile or deception; natural and simple";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
1e20ecf3-78b0-420b-8d76-1082b509229e;assuage;to ease the intensity or severity of;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
fc1df23c-7a74-46b6-b273-1fdef991661c;assiduous;showing careful and persistent attention;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
719244fe-e444-4dbf-85ea-105a114f1008;aspersion;a false accusation intended to do harm;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
78f20327-6ee2-4ab4-a124-005462386f4b;attenuate;to make thin or weak;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
108256e6-04e8-4d25-80fb-7f3a9831ed2f;asylum;a place of shelter and protection;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
f5470454-12ed-4995-8dd4-78315fea5fef;astringent;harsh, caustic, strict;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
70f848c6-bbe6-47fb-b33c-2cc715efadfb;autonomous;"independent; self-governing";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
b8c3437e-56e7-4051-8b77-0c5df7b98f16;austere;"stern in manner or appearance; severely simple";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
7e58922e-21ed-47c4-b619-8b97d5384b81;audacious;"brave; inventive, unconventional";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
6085f929-74ed-4284-9738-b6bed9884767;avocation;"occupation pursued for enjoyment; hobby";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
be303b2e-0031-4698-8c82-ea4b987815cb;aver;to declare or prove to be true;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
5204edbf-156e-471a-93a0-a4a523b4b7c0;avarice;excessive greed for wealth;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
bd5776ff-3afb-4c00-a972-ec83c6735ec7;axiomatic;"self-evidently true; relating to an axiom";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
e83474ea-db25-478f-b996-6c2de5437e62;bawdy;"humorously indecent; lewd in a boisterous or humorous way";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
48e5efa6-5b9b-4de5-8a24-4de4384ca52a;banal;"lacking originality; commonplace";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
6de2a156-0b81-4f46-85ad-c0f841cc739f;beneficent;"doing good; charitable";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
b7f90b0a-4b2f-4e02-918b-2493dae50a53;bombastic;using pompous or pretentious language;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
ab7d5962-ffa1-4887-9b3d-79dcd54ababb;bolster;to support or strengthen;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
0687cb33-7abc-4fe8-ba7b-9781db74fd62;fulminate;to denounce strongly;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
199df4a3-4a64-446c-b070-53f41ffdb979;blandishment;flattery intended to persuade;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
c32e007b-164f-4a2f-97a9-e904a1559413;broach;to mention for the first time;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
1d5f2551-b367-4fa9-8b9c-7540c220e784;brazen;"bold; shameless";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
7951ddac-bb64-4abc-be5d-d03ee5b290c7;boorish;rude and unrefined;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
c1f3e58e-fb5b-43bf-929b-b9fa032c418e;burnish;to polish or make shiny;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
c9b1a26f-a42a-46f6-94ca-be695c49c8d8;burgeon;to grow or flourish rapidly;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
cfecbc18-0974-4449-9379-f21c68aff28b;bucolic;"relating to shepherds or rural life; pastoral";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
39c2766c-6a95-4eb1-a891-18a5d131be3e;buttress;to support, prop up;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
ac35bf80-f099-47ec-835b-0e3f4bca66c4;canon;"a set of fundamental rules or standards; a set of sacred texts";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
747d19b9-65fc-4b87-8abb-3d421acee4e1;calumny;a false and malicious statement;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
27d95f62-53bf-49ca-9357-f35a49cbf602;cacophony;harsh, discordant sounds;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
a7f008b8-5ce9-4ce4-9349-bbfecd51d592;captious;"tending to find fault; designed to confuse";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
35b0667b-6620-42e7-bca1-f4216405f1b5;capricious;"given to sudden changes; unpredictable";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
893efa71-f605-4573-a9a6-ee1456155168;cant;"insincere expressions of piety; trite or stock language";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
3856676e-89d9-41ac-b8f1-03be12cb8090;causal;relating to or acting as a cause;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
b74d4850-9596-41a9-94bb-dea9c0ec5760;catalyst;something that causes change;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
138bfc6a-2ef4-4bb9-b4f1-ba2912f715dd;castigation;severe criticism or punishment;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
4c5d8349-76e9-434c-b542-b1285ea1f160;censure;to criticize harshly;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
12ca8f4a-396f-4cb8-a055-e8535c5e4d20;cavil;to raise minor objections;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
0427475c-8577-45d6-a289-49dd59439187;chicanery;deception by trickery;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
a5b5db45-c5f4-4966-8dd0-2763e8e5c74a;chasten;to correct through punishment or discipline;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
3f51d45c-888c-450b-9286-571cd10dd843;chary;cautious;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
7587d610-eb3f-4df6-ad09-78e768fa09f8;coagulate;"to thicken; to gather in a mass";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
72eebb80-f2f0-4e00-a596-7ff3d45cb3fb;circuitous;following a winding, indirect way;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
9392978e-cfd9-41af-ae62-ad51eb6a1972;chimera;"a terrible illusion; an imagined monster";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
fff8df84-486b-4ba1-9d6e-4c910df6ad94;commensurate;corresponding in size or degree;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
4ae47b81-45dd-4d37-ab07-d54743bd62c5;cogent;clear, logical, and convincing;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
8244b488-0f47-47c5-a31c-9f2da585111f;coda;the concluding part of a work of music, literature, drama, or film;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
31255ee8-a818-4676-a2f1-470cd0250c62;complaisant;eager to please;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
1016987e-28aa-40db-b806-1f28de2d43c8;complacent;"self-satisfied; unconcerned";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
73df8be4-6306-4e9d-8ad0-76b933421e4f;compendium;a collection of concise information;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
15a346b3-7671-4f4e-8a9e-910f275d6867;conciliatory;intended to gain goodwill or favor;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
60c44463-cbb2-4301-9e26-110bcfa8018c;compliant;"willing to comply; submissive";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
70992d72-c8a1-4165-845a-ac7d34a74ebc;complement;something that completes or perfects;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
469d23d8-8329-4d08-8202-a496d9b6c4f6;contention;"opposition, strife; an idea proposed and held in debate";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
210b1c4f-fa01-432f-9a98-756ac01ed8ca;connoisseur;an expert judge in matters of taste;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
6375205f-690e-4e52-a48f-2e34bf14909a;confound;to confuse thoroughly;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
6e1de2de-b846-4e9a-b733-5f7fb4f8b051;contumacious;stubbornly rebellious;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
02c4e4d4-6982-49b2-932e-479e3c3852d4;contrite;feeling remorse or guilt;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
8d8b8291-ea8f-40d0-b499-2e05eea7c412;contiguous;"sharing a boundary; adjoining";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
ccbcefad-0c29-46f4-ae0c-46d11c3846d8;convivial;"fond of company, food, and drink; sociable";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
3f360da7-92b9-489f-ab9d-603f72571837;convention;"a meeting; an agreement; the standard or usual way of doing things";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
d16725b9-df72-46af-8814-140c833ff037;conundrum;a puzzling problem or question;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
5683bce5-fe5f-40a7-a494-7d7ebc62af5a;craven;"lacking in courage; cowardly";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
2eb605ee-3746-40f4-8342-69156b969b76;copious;"abundant; plentiful";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
0ee6cc28-2ef3-4656-802c-825951add665;convoluted;"full of twists and turns; complicated";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
d451ae10-9af0-40d4-908a-090a085b1f7d;cynicism;complete lack of faith, especially in the values and motives of humans;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
2bd8aedd-66ca-438f-9a28-05da33040021;culpable;deserving blame;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
d4e6f80b-b62a-4040-93a3-90de46594d18;credulous;too willing to believe things;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
a819c3c7-416e-42c4-8adb-1c098fc88106;cynosure;a center of attraction;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
214fd38e-3f4e-47f1-b869-8ff27566dfd9;debauchery;excessive indulgence in physical pleasures;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
769f550b-40e5-4a13-b3c2-8daff45612ae;debacle;a sudden disaster or complete failure;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
7dce76b7-311d-4016-af4f-e02ea40edd7d;dearth;a scarcity or lack;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
8a32a95a-2543-4b6d-8769-0327a9dcfa76;deference;"respect; submission to the judgment of another";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
9ba155bc-a299-4e8c-8b21-079b25f8db22;default;a failure to act or fulfill an obligation;;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
1b68dea5-dfb4-4e75-bcbb-d3dbc4d2f182;decorum;"proper behavior; good taste";;"[""GRE""]";new;2026-01-26 11:19:23.30611+00;2026-01-26 11:19:23.30611+00;
